level,shot,target,pigsBefore,pigsAfter
1,0-5-13-20-8,stone13,9,2
1,0-41,wood0,9,9
1,0-41-20,stone3,9,9
1,0-41-20-26,stone5,9,9
1,0-41-20-26-3,stone11,9,2
1,0-1,ice6,9,9
1,0-1-7,stone13,9,9
1,0-1-7-37,stone5,9,8
1,0-1-7-37-46,wood0,8,2
1,0-13,stone23,9,9
1,0-13-11,stone17,9,9
1,0-13-11-44,wood1,9,6
1,0-13-11-44-2,stone0,6,2
1,0-13,stone23,9,9
1,0-13-6,stone13,9,9
1,0-13-6-21,stone3,9,7
1,0-13-6-21-21,stone5,7,2
1,0-1,ice6,9,9
1,0-1-12,stone13,9,9
1,0-1-12-25,stone6,9,9
1,0-1-12-25-59,wood2,9,2
1,0-0,ice6,9,9
1,0-0-43,stone9,9,9
1,0-0-43-24,stone4,9,8
1,0-0-43-24-16,stone11,8,2
1,0-38,stone9,9,9
1,0-38-29,stone5,9,9
1,0-38-29-45,wood8,9,9
1,0-38-29-45-1,ice3,9,2
1,0-43,wood1,9,9
1,0-43-16,stone2,9,7
1,0-43-16-23,stone2,7,7
1,0-43-16-23-17,stone10,7,2
1,0-24,stone5,9,9
1,0-24-35,stone8,9,9
1,0-24-35-32,stone7,9,9
1,0-24-35-32-54,wood4,9,0
1,0-23,stone5,9,9
1,0-23-21,stone6,9,9
1,0-23-21-27,stone6,9,8
1,0-23-21-27-31,stone5,8,2
1,0-18,stone4,9,9
1,0-18-35,stone8,9,9
1,0-18-35-35,stone7,9,9
1,0-18-35-35-42,stone9,9,2
1,0-24,stone5,9,9
1,0-24-11,stone17,9,9
1,0-24-11-43,wood0,9,7
1,0-24-11-43-5,stone0,7,2
1,0-21,stone4,9,9
1,0-21-48,wood8,9,5
1,0-21-48-26,stone4,5,5
1,0-21-48-26-28,stone9,5,0
1,0-31,stone8,9,9
1,0-31-1,ice5,9,7
1,0-31-1-13,stone20,7,7
1,0-31-1-13-34,stone6,7,2
1,0-48,wood7,9,9
1,0-48-46,wood2,9,9
1,0-48-46-15,stone2,9,9
1,0-48-46-15-45,stone8,9,2
1,0-15,stone23,9,9
1,0-15-7,stone13,9,9
1,0-15-7-34,stone6,9,9
1,0-15-7-34-31,stone6,9,2
1,0-24,stone5,9,9
1,0-24-4,stone13,9,9
1,0-24-4-28,wood6,9,9
1,0-24-4-28-15,stone2,9,2
1,0-11,stone17,9,9
1,0-11-48,wood8,9,9
1,0-11-48-46,wood6,9,8
1,0-11-48-46-38,stone7,8,2
1,0-41,wood0,9,9
1,0-41-14,stone2,9,6
1,0-41-14-16,stone18,6,6
1,0-41-14-16-1,stone1,6,2
1,0-2,stone13,9,9
