time,tp,fn,tn,fp,accuracy,precision,recall,f1
0.9800252914428711,2,169,171,0,0.5058479532163743,1.0,0.011695906432748537,0.023121387283236993
0.9824819564819336,3,168,171,0,0.5087719298245614,1.0,0.017543859649122806,0.034482758620689655
1.036344289779663,47,124,171,0,0.6374269005847953,1.0,0.27485380116959063,0.43119266055045874
1.2080252170562744,49,122,171,0,0.6432748538011696,1.0,0.28654970760233917,0.44545454545454544
1.2356750965118408,50,121,168,3,0.6374269005847953,0.9433962264150944,0.29239766081871343,0.44642857142857145
1.2426211833953857,52,119,168,3,0.6432748538011696,0.9454545454545454,0.30409356725146197,0.46017699115044247
89.3569746017456,57,114,168,3,0.6578947368421053,0.95,0.3333333333333333,0.4935064935064935
89.38298463821411,60,111,168,3,0.6666666666666666,0.9523809523809523,0.3508771929824561,0.5128205128205128
109.34150218963623,64,107,168,3,0.6783625730994152,0.9552238805970149,0.3742690058479532,0.5378151260504201
115.86889314651489,64,107,162,9,0.6608187134502924,0.8767123287671232,0.3742690058479532,0.5245901639344263
124.00220084190369,65,106,162,9,0.6637426900584795,0.8783783783783784,0.38011695906432746,0.5306122448979592
124.06340670585632,72,99,168,3,0.7017543859649122,0.96,0.42105263157894735,0.5853658536585366
124.1482183933258,132,39,162,9,0.8596491228070176,0.9361702127659575,0.7719298245614035,0.8461538461538461
124.17056775093079,135,36,168,3,0.8859649122807017,0.9782608695652174,0.7894736842105263,0.8737864077669902
124.24525380134583,145,26,168,3,0.9152046783625731,0.9797297297297297,0.847953216374269,0.9090909090909091
124.90004062652588,147,24,168,3,0.9210526315789473,0.98,0.8596491228070176,0.9158878504672897
125.00529408454895,149,22,167,4,0.9239766081871345,0.9738562091503268,0.8713450292397661,0.9197530864197531
125.64015102386475,149,22,167,4,0.9239766081871345,0.9738562091503268,0.8713450292397661,0.9197530864197531
133.7095468044281,151,20,167,4,0.9298245614035088,0.9741935483870968,0.8830409356725146,0.9263803680981595
