time,tp,fn,tn,fp,accuracy,precision,recall,f1
1.8932650089263916,13,410,423,0,0.5153664302600472,1.0,0.030732860520094562,0.05963302752293578
1.9049642086029053,20,403,423,0,0.5236406619385343,1.0,0.04728132387706856,0.09029345372460497
1.9128966331481934,35,388,423,0,0.541371158392435,1.0,0.08274231678486997,0.15283842794759825
2.0245490074157715,40,383,423,0,0.5472813238770685,1.0,0.09456264775413711,0.17278617710583152
2.0394279956817627,125,298,422,1,0.6465721040189125,0.9920634920634921,0.29550827423167847,0.4553734061930783
2.0553715229034424,125,298,422,1,0.6465721040189125,0.9920634920634921,0.29550827423167847,0.4553734061930783
2.067426919937134,128,295,418,5,0.6453900709219859,0.9624060150375939,0.30260047281323876,0.460431654676259
2.573157787322998,130,293,418,5,0.6477541371158393,0.9629629629629629,0.3073286052009456,0.4659498207885305
2.603308916091919,132,291,418,5,0.6501182033096927,0.9635036496350365,0.3120567375886525,0.4714285714285714
2.6130411624908447,133,290,418,5,0.6513002364066194,0.9637681159420289,0.3144208037825059,0.4741532976827095
2.622157335281372,135,288,418,5,0.6536643026004728,0.9642857142857143,0.3191489361702128,0.47957371225577267
2.644134759902954,185,238,417,6,0.7115839243498818,0.9685863874345549,0.4373522458628842,0.6026058631921825
2.6628811359405518,191,232,417,6,0.7186761229314421,0.9695431472081218,0.4515366430260047,0.6161290322580645
2.6732332706451416,193,230,417,6,0.7210401891252955,0.9698492462311558,0.4562647754137116,0.6205787781350482
2.6964974403381348,197,226,417,6,0.7257683215130024,0.9704433497536946,0.4657210401891253,0.6293929712460063
2.712266445159912,198,225,417,6,0.7269503546099291,0.9705882352941176,0.46808510638297873,0.631578947368421
2.7707951068878174,200,223,417,6,0.7293144208037825,0.970873786407767,0.4728132387706856,0.6359300476947536
2.8428475856781006,201,222,417,6,0.7304964539007093,0.9710144927536232,0.475177304964539,0.638095238095238
2.8931539058685303,204,219,417,6,0.7340425531914894,0.9714285714285714,0.48226950354609927,0.6445497630331753
2.914822816848755,205,218,417,6,0.735224586288416,0.9715639810426541,0.4846335697399527,0.6466876971608833
2.927375316619873,206,217,416,7,0.735224586288416,0.9671361502347418,0.48699763593380613,0.6477987421383647
3.1131792068481445,207,216,416,7,0.7364066193853428,0.9672897196261683,0.48936170212765956,0.6499215070643642
3.128572940826416,208,215,416,7,0.7375886524822695,0.9674418604651163,0.491725768321513,0.6520376175548589
3.2379543781280518,212,211,416,7,0.7423167848699763,0.9680365296803652,0.5011820330969267,0.660436137071651
3.2560951709747314,214,209,416,7,0.7446808510638298,0.9683257918552036,0.5059101654846335,0.6645962732919255
3.375516176223755,227,196,416,7,0.7600472813238771,0.9700854700854701,0.5366430260047281,0.6910197869101978
3.4234461784362793,227,196,416,7,0.7600472813238771,0.9700854700854701,0.5366430260047281,0.6910197869101978
3.567821502685547,235,188,416,7,0.7695035460992907,0.9710743801652892,0.5555555555555556,0.706766917293233
3.594863176345825,237,186,416,7,0.7718676122931442,0.9713114754098361,0.5602836879432624,0.7106446776611695
3.6894943714141846,242,181,421,2,0.7836879432624113,0.9918032786885246,0.5721040189125296,0.7256371814092953
3.924320697784424,243,180,421,2,0.7848699763593381,0.9918367346938776,0.574468085106383,0.7275449101796407
3.9790425300598145,248,175,421,2,0.7907801418439716,0.992,0.5862884160756501,0.736998514115899
4.012745141983032,250,173,421,2,0.793144208037825,0.9920634920634921,0.5910165484633569,0.7407407407407407
4.05048942565918,251,172,421,2,0.7943262411347518,0.9920948616600791,0.5933806146572104,0.742603550295858
4.127714395523071,254,169,421,2,0.7978723404255319,0.9921875,0.6004728132387707,0.748159057437408
4.276269435882568,261,162,421,2,0.806146572104019,0.9923954372623575,0.6170212765957447,0.760932944606414
4.321479320526123,264,159,421,2,0.8096926713947991,0.9924812030075187,0.624113475177305,0.7663280116110305
4.61104416847229,271,152,421,2,0.817966903073286,0.9926739926739927,0.640661938534279,0.7787356321839081
4.7112061977386475,274,149,421,2,0.8215130023640662,0.9927536231884058,0.6477541371158393,0.7839771101573677
4.79357385635376,284,139,422,1,0.83451536643026,0.9964912280701754,0.6713947990543735,0.8022598870056498
4.841005802154541,287,136,420,3,0.8356973995271868,0.9896551724137931,0.6784869976359338,0.8050490883590463
4.980952739715576,286,137,420,3,0.83451536643026,0.9896193771626297,0.6761229314420804,0.8033707865168539
5.035957098007202,288,135,420,3,0.8368794326241135,0.9896907216494846,0.6808510638297872,0.8067226890756303
5.268272638320923,301,122,420,3,0.8522458628841607,0.9901315789473685,0.7115839243498818,0.828060522696011
5.3705220222473145,307,116,419,4,0.8581560283687943,0.9871382636655949,0.7257683215130024,0.8365122615803815
5.449564218521118,313,110,419,4,0.8652482269503546,0.9873817034700315,0.7399527186761229,0.845945945945946
5.488914251327515,314,109,419,4,0.8664302600472813,0.9874213836477987,0.7423167848699763,0.8475033738191633
5.567224740982056,320,103,419,4,0.8735224586288416,0.9876543209876543,0.7565011820330969,0.856760374832664
5.738105535507202,329,94,419,4,0.8841607565011821,0.987987987987988,0.7777777777777778,0.8703703703703703
6.040934085845947,333,90,419,4,0.8888888888888888,0.9881305637982196,0.7872340425531915,0.8763157894736842
6.077927827835083,333,90,419,4,0.8888888888888888,0.9881305637982196,0.7872340425531915,0.8763157894736842
6.14275860786438,333,90,419,4,0.8888888888888888,0.9881305637982196,0.7872340425531915,0.8763157894736842
6.248297691345215,339,84,419,4,0.8959810874704491,0.9883381924198251,0.8014184397163121,0.8851174934725848
6.319495439529419,340,83,419,4,0.8971631205673759,0.9883720930232558,0.8037825059101655,0.8865710560625815
6.663459539413452,360,63,419,4,0.9208037825059102,0.989010989010989,0.851063829787234,0.9148665819567979
6.73449969291687,362,61,419,4,0.9231678486997635,0.9890710382513661,0.8557919621749409,0.917617237008872
6.770275592803955,363,60,419,4,0.9243498817966903,0.989100817438692,0.8581560283687943,0.9189873417721519
6.819227457046509,366,57,419,4,0.9278959810874704,0.9891891891891892,0.8652482269503546,0.9230769230769231
6.867063522338867,367,56,421,2,0.9314420803782506,0.994579945799458,0.8676122931442081,0.9267676767676768
6.925568580627441,369,54,421,2,0.933806146572104,0.9946091644204852,0.8723404255319149,0.929471032745592
6.959386110305786,371,52,421,2,0.9361702127659575,0.9946380697050938,0.8770685579196218,0.9321608040201005
7.022148847579956,373,50,420,3,0.9373522458628841,0.9920212765957447,0.8817966903073287,0.9336670838548186
7.09306788444519,377,46,420,3,0.942080378250591,0.9921052631578947,0.8912529550827423,0.9389788293897883
7.184311628341675,381,42,420,3,0.9468085106382979,0.9921875,0.900709219858156,0.9442379182156134
7.231928825378418,383,40,420,3,0.9491725768321513,0.9922279792746114,0.9054373522458629,0.9468479604449939
7.263058662414551,385,38,419,4,0.950354609929078,0.9897172236503856,0.9101654846335697,0.9482758620689655
7.497102499008179,385,38,419,4,0.950354609929078,0.9897172236503856,0.9101654846335697,0.9482758620689655
7.528467893600464,386,37,419,4,0.9515366430260047,0.9897435897435898,0.9125295508274232,0.949569495694957
7.573843717575073,386,37,419,4,0.9515366430260047,0.9897435897435898,0.9125295508274232,0.949569495694957
7.608928442001343,387,36,419,4,0.9527186761229315,0.989769820971867,0.9148936170212766,0.9508599508599509
7.736934423446655,387,36,419,4,0.9527186761229315,0.989769820971867,0.9148936170212766,0.9508599508599509
7.967169284820557,388,35,419,4,0.9539007092198581,0.9897959183673469,0.91725768321513,0.9521472392638037
8.255568027496338,390,33,419,4,0.9562647754137116,0.9898477157360406,0.9219858156028369,0.9547123623011016
8.591448545455933,392,31,419,4,0.958628841607565,0.98989898989899,0.9267139479905437,0.9572649572649573
8.66904616355896,393,30,419,4,0.9598108747044918,0.9899244332493703,0.9290780141843972,0.9585365853658536
8.80965518951416,394,29,419,4,0.9609929078014184,0.9899497487437185,0.9314420803782506,0.9598051157125457
8.890677452087402,395,28,419,4,0.9621749408983451,0.9899749373433584,0.933806146572104,0.9610705596107056
8.986886739730835,396,27,419,4,0.9633569739952719,0.99,0.9361702127659575,0.9623329283110571
9.16509199142456,397,26,419,4,0.9645390070921985,0.9900249376558603,0.9385342789598109,0.9635922330097088
9.328397512435913,398,25,419,4,0.9657210401891253,0.9900497512437811,0.9408983451536643,0.9648484848484848
9.408255100250244,398,25,419,4,0.9657210401891253,0.9900497512437811,0.9408983451536643,0.9648484848484848
9.53840708732605,399,24,419,4,0.966903073286052,0.9900744416873449,0.9432624113475178,0.9661016949152542
9.639883041381836,400,23,417,6,0.9657210401891253,0.9852216748768473,0.9456264775413712,0.9650180940892642
9.73070502281189,400,23,417,6,0.9657210401891253,0.9852216748768473,0.9456264775413712,0.9650180940892642
9.80570650100708,401,22,417,6,0.966903073286052,0.9852579852579852,0.9479905437352246,0.9662650602409638
10.041335105895996,404,19,417,6,0.9704491725768322,0.9853658536585366,0.9550827423167849,0.9699879951980792
10.217954635620117,403,20,417,6,0.9692671394799054,0.9853300733496333,0.9527186761229315,0.96875
10.56342077255249,404,19,419,4,0.9728132387706856,0.9901960784313726,0.9550827423167849,0.9723225030084236
11.327367067337036,405,18,418,5,0.9728132387706856,0.9878048780487805,0.9574468085106383,0.9723889555822329
