time,tp,fn,tn,fp,accuracy,precision,recall,f1
0.6361594200134277,2,169,171,0,0.5058479532163743,1.0,0.011695906432748537,0.023121387283236993
0.6445086002349854,3,168,171,0,0.5087719298245614,1.0,0.017543859649122806,0.034482758620689655
0.6774477958679199,5,166,171,0,0.5146198830409356,1.0,0.029239766081871343,0.056818181818181816
0.7576396465301514,49,122,171,0,0.6432748538011696,1.0,0.28654970760233917,0.44545454545454544
1.09956693649292,51,120,171,0,0.6491228070175439,1.0,0.2982456140350877,0.4594594594594595
107.1981348991394,52,119,171,0,0.652046783625731,1.0,0.30409356725146197,0.4663677130044843
108.81902170181274,54,117,171,0,0.6578947368421053,1.0,0.3157894736842105,0.48
110.77578568458557,59,112,171,0,0.672514619883041,1.0,0.34502923976608185,0.5130434782608696
111.11827349662781,60,111,171,0,0.6754385964912281,1.0,0.3508771929824561,0.5194805194805194
116.75268125534058,61,110,171,0,0.6783625730994152,1.0,0.3567251461988304,0.5258620689655172
122.05416870117188,62,109,171,0,0.6812865497076024,1.0,0.36257309941520466,0.5321888412017167
129.97007393836975,63,108,171,0,0.6842105263157895,1.0,0.3684210526315789,0.5384615384615384
130.74547243118286,68,103,171,0,0.6988304093567251,1.0,0.39766081871345027,0.5690376569037657
131.7936568260193,71,100,171,0,0.7076023391812866,1.0,0.4152046783625731,0.5867768595041323
132.5055148601532,72,99,171,0,0.7105263157894737,1.0,0.42105263157894735,0.5925925925925926
135.06323862075806,73,98,171,0,0.7134502923976608,1.0,0.4269005847953216,0.5983606557377049
135.5343406200409,74,97,171,0,0.716374269005848,1.0,0.4327485380116959,0.6040816326530613
139.1417419910431,75,96,171,0,0.7192982456140351,1.0,0.43859649122807015,0.6097560975609756
142.65086960792542,76,95,171,0,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
143.25502157211304,81,90,171,0,0.7368421052631579,1.0,0.47368421052631576,0.6428571428571429
143.98738646507263,82,89,171,0,0.7397660818713451,1.0,0.47953216374269003,0.6482213438735178
145.4609317779541,83,88,171,0,0.7426900584795322,1.0,0.4853801169590643,0.6535433070866141
147.0778877735138,84,87,171,0,0.7456140350877193,1.0,0.49122807017543857,0.6588235294117647
148.1156566143036,85,86,171,0,0.7485380116959064,1.0,0.49707602339181284,0.6640625
148.37684845924377,86,85,171,0,0.7514619883040936,1.0,0.5029239766081871,0.669260700389105
150.70851159095764,89,82,171,0,0.7602339181286549,1.0,0.52046783625731,0.6846153846153846
151.3069407939911,92,79,171,0,0.7690058479532164,1.0,0.5380116959064327,0.6996197718631179
151.83006048202515,93,78,171,0,0.7719298245614035,1.0,0.543859649122807,0.7045454545454546
152.71378231048584,94,77,171,0,0.7748538011695907,1.0,0.5497076023391813,0.7094339622641509
156.33053302764893,96,75,171,0,0.7807017543859649,1.0,0.5614035087719298,0.7191011235955056
174.21595907211304,97,74,171,0,0.783625730994152,1.0,0.5672514619883041,0.7238805970149254
176.76591730117798,98,73,171,0,0.7865497076023392,1.0,0.5730994152046783,0.7286245353159851
180.21764850616455,105,66,171,0,0.8070175438596491,1.0,0.6140350877192983,0.7608695652173914
184.37314343452454,110,61,171,0,0.8216374269005848,1.0,0.6432748538011696,0.7829181494661922
185.44976925849915,112,59,171,0,0.827485380116959,1.0,0.6549707602339181,0.7915194346289752
186.18375301361084,113,58,171,0,0.8304093567251462,1.0,0.6608187134502924,0.795774647887324
188.69440269470215,159,12,171,0,0.9649122807017544,1.0,0.9298245614035088,0.9636363636363636
234.32522082328796,160,11,171,0,0.9678362573099415,1.0,0.935672514619883,0.9667673716012085
295.87890458106995,162,9,171,0,0.9736842105263158,1.0,0.9473684210526315,0.972972972972973
300.292884349823,162,9,171,0,0.9736842105263158,1.0,0.9473684210526315,0.972972972972973
