time,tp,fn,tn,fp,accuracy,precision,recall,f1
1.204387903213501,54,129,5,0,0.31382978723404253,1.0,0.29508196721311475,0.45569620253164556
2.3695592880249023,57,126,5,0,0.32978723404255317,1.0,0.3114754098360656,0.475
2.426701068878174,72,111,5,0,0.4095744680851064,1.0,0.39344262295081966,0.5647058823529412
2.4845385551452637,97,86,5,0,0.5425531914893617,1.0,0.5300546448087432,0.6928571428571428
3.2605690956115723,107,76,5,0,0.5957446808510638,1.0,0.5846994535519126,0.7379310344827587
3.413416862487793,109,74,5,0,0.6063829787234043,1.0,0.5956284153005464,0.7465753424657534
3.4387869834899902,125,58,5,0,0.6914893617021277,1.0,0.6830601092896175,0.8116883116883117
3.4716830253601074,134,49,5,0,0.7393617021276596,1.0,0.73224043715847,0.8454258675078864
3.5282716751098633,136,47,5,0,0.75,1.0,0.7431693989071039,0.8526645768025078
3.567385673522949,147,36,5,0,0.8085106382978723,1.0,0.8032786885245902,0.8909090909090909
4.324858903884888,175,8,5,0,0.9574468085106383,1.0,0.9562841530054644,0.9776536312849162
4.357421636581421,176,7,5,0,0.9627659574468085,1.0,0.9617486338797814,0.9805013927576601
300.5964505672455,176,7,5,0,0.9627659574468085,1.0,0.9617486338797814,0.9805013927576601
